filename	acq_time	operator	randstr
func/sub-21_ses-action01_task-action_run-01_bold.nii.gz	2021-10-25T15:47:07.912500	n/a	861ce2cb
func/sub-21_ses-action01_task-action_run-02_bold.nii.gz	2021-10-25T15:54:00.155000	n/a	0b9d611b
func/sub-21_ses-action01_task-action_run-03_bold.nii.gz	2021-10-25T16:00:21.292500	n/a	500d09eb
func/sub-21_ses-action01_task-action_run-04_bold.nii.gz	2021-10-25T16:07:12.802500	n/a	d20198de
func/sub-21_ses-action01_task-action_run-05_bold.nii.gz	2021-10-25T16:14:37.540000	n/a	873bf919
func/sub-21_ses-action01_task-action_run-06_bold.nii.gz	2021-10-25T16:23:01.207500	n/a	e64c6bc4
fmap/sub-21_ses-action01_run-01_magnitude1.nii.gz	2021-10-25T16:29:38.580000	n/a	a5b60877
fmap/sub-21_ses-action01_run-01_magnitude2.nii.gz	2021-10-25T16:29:38.580000	n/a	a5b60877
fmap/sub-21_ses-action01_run-01_phasediff.nii.gz	2021-10-25T16:29:39.302500	n/a	017ad2f4
func/sub-21_ses-action01_task-action_run-07_bold.nii.gz	2021-10-25T16:33:23.705000	n/a	ab40075a
func/sub-21_ses-action01_task-action_run-08_bold.nii.gz	2021-10-25T16:39:43.385000	n/a	b8a81948
func/sub-21_ses-action01_task-action_run-09_bold.nii.gz	2021-10-25T16:47:10.030000	n/a	4e085fc3
func/sub-21_ses-action01_task-action_run-10_bold.nii.gz	2021-10-25T16:53:20.495000	n/a	df04773a
func/sub-21_ses-action01_task-action_run-11_bold.nii.gz	2021-10-25T16:59:06.092500	n/a	df0f944d
func/sub-21_ses-action01_task-action_run-12_bold.nii.gz	2021-10-25T17:05:03.277500	n/a	2aca4cb6
