onset	duration	trial_type	response_time	stim_file
180.0212209224701	2.0005481243133545	147.0	0.3195841312408447	Spinning/v_Spinning_id_HQNHx3bRU38_start_135.0_label_1.mp4
184.02098107337952	2.000409841537476	37.0	0.4080150127410888	Dodgeball/v_Dodgeball_id_XUfo-6UDVfM_start_34.0_label_1.mp4
192.0203080177307	2.000818014144897	95.0	0.5601489543914795	Playing beach volleyball/v_Playing beach volleyball_id_9bPuU6-DWEc_start_79.5_label_1.mp4
196.02067589759827	2.033095121383667	109.0	0.4076080322265625	Playing racquetball/v_Playing racquetball_id_mMa1myZjzVY_start_92.5_label_1.mp4
200.0195999145508	2.000537157058716	126.0	0.3612699508666992	Riding bumper cars/v_Riding bumper cars_id__Lt0iw5Xqlg_start_16.0_label_1.mp4
204.01940488815308	2.0004701614379883	76.0	0.3536860942840576	Long jump/v_Long jump_id_fEHryIaKr9Y_start_14.0_label_1.mp4
208.01881194114685	2.000741958618164	33.0	0.3857491016387939	Cutting the grass/v_Cutting the grass_id_LHCkTHu0ao4_start_105.0_label_1.mp4
216.01865005493164	2.033345937728882	84.0	0.9295151233673096	Mowing the lawn/v_Mowing the lawn_id_9Idx8MhJaHg_start_56.5_label_1.mp4
220.01788687705996	2.000418186187744	18.0	0.5630230903625488	Bullfighting/v_Bullfighting_id_BPEhGyz1Q6A_start_14.5_label_1.mp4
224.0175409317017	2.0003199577331543	169.0	0.5316920280456543	Vacuuming floor/v_Vacuuming floor_id_oSgbMUEaOFk_start_36.5_label_1.mp4
228.01717591285703	2.0006589889526367	91.0	0.8036611080169678	Plataform diving/v_Plataform diving_id_v_Unq3S9RxA_start_2.0_label_1.mp4
232.01685905456543	2.000736951828003	68.0	0.4199910163879394	Ice fishing/v_Ice fishing_id_pKEh3MOSs88_start_137.0_label_1.mp4
240.0162138938904	2.000355958938598	142.0	0.3889482021331787	Smoking a cigarette/v_Smoking a cigarette_id_8YQ4iPsgvE0_start_9.0_label_1.mp4
244.01578092575076	2.0002520084381104	102.0	0.4933280944824219	Playing harmonica/v_Playing harmonica_id_wQi5084vU0o_start_73.0_label_1.mp4
248.0154759883881	2.0014960765838623	118.0	0.3732872009277344	Powerbocking/v_Powerbocking_id_wnHPSRWcs3I_start_30.5_label_1.mp4
252.01512789726257	2.000530958175659	39.0	0.6697921752929688	Doing fencing/v_Doing fencing_id_-ASBheUJyjg_start_6.0_label_1.mp4
256.01451802253723	2.0008699893951416	82.0	0.2541029453277588	Mixing drinks/v_Mixing drinks_id_XCU46QMIEGI_start_1.0_label_1.mp4
264.0140130519867	2.0005688667297363	105.0	0.4309391975402832	Playing lacrosse/v_Playing lacrosse_id_NrpTpvxVMU4_start_30.0_label_1.mp4
268.013710975647	2.0004758834838867	112.0	0.4232950210571289	Playing squash/v_Playing squash_id_GyKl5YnTH4Y_start_4.5_label_1.mp4
272.0133550167084	2.0337979793548584	167.0	0.3663058280944824	Using the rowing machine/v_Using the rowing machine_id_kr7ycEYn7WM_start_28.0_label_1.mp4
276.0130479335785	2.033600091934204	29.0	0.4706740379333496	Cleaning sink/v_Cleaning sink_id_mjB3DJFIP_M_start_187.0_label_1.mp4
280.0124249458313	2.000926971435547	30.0	0.5682859420776367	Cleaning windows/v_Cleaning windows_id_3HaK9BQo40o_start_145.0_label_1.mp4
