filename	acq_time	operator	randstr
func/sub-27_ses-action01_task-action_run-01_bold.nii.gz	2021-11-01T15:48:30.637500	n/a	b51f42f7
func/sub-27_ses-action01_task-action_run-02_bold.nii.gz	2021-11-01T15:54:27.597500	n/a	f9405725
func/sub-27_ses-action01_task-action_run-03_bold.nii.gz	2021-11-01T16:00:33.617500	n/a	1824b396
func/sub-27_ses-action01_task-action_run-04_bold.nii.gz	2021-11-01T16:06:45.357500	n/a	6139dd63
func/sub-27_ses-action01_task-action_run-05_bold.nii.gz	2021-11-01T16:13:21.282500	n/a	9ed488e5
func/sub-27_ses-action01_task-action_run-06_bold.nii.gz	2021-11-01T16:19:51.865000	n/a	39fd7e13
fmap/sub-27_ses-action01_run-01_magnitude1.nii.gz	2021-11-01T16:26:01.980000	n/a	3a04d53a
fmap/sub-27_ses-action01_run-01_magnitude2.nii.gz	2021-11-01T16:26:01.980000	n/a	3a04d53a
fmap/sub-27_ses-action01_run-01_phasediff.nii.gz	2021-11-01T16:26:02.702500	n/a	9ca35afd
func/sub-27_ses-action01_task-action_run-07_bold.nii.gz	2021-11-01T16:28:57.862500	n/a	1b361a5c
func/sub-27_ses-action01_task-action_run-08_bold.nii.gz	2021-11-01T16:35:10.007500	n/a	e316fdd0
func/sub-27_ses-action01_task-action_run-09_bold.nii.gz	2021-11-01T16:41:06.695000	n/a	c7626dbb
func/sub-27_ses-action01_task-action_run-10_bold.nii.gz	2021-11-01T16:47:03.832500	n/a	e92ae84d
func/sub-27_ses-action01_task-action_run-11_bold.nii.gz	2021-11-01T16:52:54.017500	n/a	f5dc8ba5
func/sub-27_ses-action01_task-action_run-12_bold.nii.gz	2021-11-01T16:58:41.770000	n/a	0814db6d
