filename	acq_time	operator	randstr
func/sub-26_ses-action01_task-action_run-01_bold.nii.gz	2021-11-01T14:28:45.317500	n/a	6de4ccc6
func/sub-26_ses-action01_task-action_run-02_bold.nii.gz	2021-11-01T14:34:44.255000	n/a	35340d47
func/sub-26_ses-action01_task-action_run-03_bold.nii.gz	2021-11-01T14:40:41.842500	n/a	f80c355a
func/sub-26_ses-action01_task-action_run-04_bold.nii.gz	2021-11-01T14:46:41.087500	n/a	cc1bc3c6
func/sub-26_ses-action01_task-action_run-05_bold.nii.gz	2021-11-01T14:52:36.332500	n/a	08e3f47e
func/sub-26_ses-action01_task-action_run-06_bold.nii.gz	2021-11-01T14:58:27.767500	n/a	f240d449
fmap/sub-26_ses-action01_run-01_magnitude1.nii.gz	2021-11-01T15:04:13.397500	n/a	163b2fca
fmap/sub-26_ses-action01_run-01_magnitude2.nii.gz	2021-11-01T15:04:13.397500	n/a	163b2fca
fmap/sub-26_ses-action01_run-01_phasediff.nii.gz	2021-11-01T15:04:14.120000	n/a	91a146b5
func/sub-26_ses-action01_task-action_run-07_bold.nii.gz	2021-11-01T15:07:09.235000	n/a	411ae2e1
func/sub-26_ses-action01_task-action_run-08_bold.nii.gz	2021-11-01T15:12:57.257500	n/a	9782d0a1
func/sub-26_ses-action01_task-action_run-09_bold.nii.gz	2021-11-01T15:18:42.825000	n/a	962dfa8f
func/sub-26_ses-action01_task-action_run-10_bold.nii.gz	2021-11-01T15:24:33.897500	n/a	e455e0ba
func/sub-26_ses-action01_task-action_run-11_bold.nii.gz	2021-11-01T15:30:19.910000	n/a	bd11534d
func/sub-26_ses-action01_task-action_run-12_bold.nii.gz	2021-11-01T15:36:06.862500	n/a	26f764a7
